,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_random_state,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
45,2.801723504066467,0.2120449814605056,0.17760787010192872,0.0754556863387115,42,93,11,1,111,"{'random_state': 42, 'n_estimators': 93, 'min_samples_split': 11, 'min_samples_leaf': 1, 'max_depth': 111}",-0.14368124108275274,-0.13235439925631817,-0.14252764165711818,-0.1760394288202965,-0.17480957033180333,-0.11571244664762265,-0.14554851996892182,-0.12805470649410747,-0.1485207806928345,-0.1414935854241683,-0.14487423203759436,0.01785933037789908,28
99,3.132714295387268,0.7140459863509687,0.130841064453125,0.11113442605644033,42,108,10,1,147,"{'random_state': 42, 'n_estimators': 108, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_depth': 147}",-0.1423802518755883,-0.1331177471434163,-0.14413404037471486,-0.17603266561370948,-0.17354585251855528,-0.1149171273984909,-0.14632372169222185,-0.12866173899728126,-0.14936654709310582,-0.14130944843629317,-0.14497891411433772,0.017700411363141207,29
87,2.95395667552948,0.11431164783807932,0.2334130048751831,0.07370354935369719,42,99,10,1,105,"{'random_state': 42, 'n_estimators': 99, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_depth': 105}",-0.14345949683379744,-0.13281960997226197,-0.14325831359433816,-0.17593166078863415,-0.17382817816898433,-0.11501468630485148,-0.1460525942488406,-0.1284099338369092,-0.14936064117365874,-0.14184872193061135,-0.14499838368528875,0.017736975572488586,30
22,2.760366749763489,0.23563674432187964,0.21076462268829346,0.06436468843318616,42,88,10,1,51,"{'random_state': 42, 'n_estimators': 88, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_depth': 51}",-0.14410462169738056,-0.13424450301776975,-0.14337377403487148,-0.175921459576687,-0.17361664941950594,-0.11554188233940885,-0.14570727940427047,-0.1280490517873426,-0.1496212316831853,-0.14179164823344895,-0.14519721011938708,0.017552926495219175,31
18,2.4020111560821533,0.3975011284091966,0.23971571922302246,0.07748891116847839,42,79,13,1,143,"{'random_state': 42, 'n_estimators': 79, 'min_samples_split': 13, 'min_samples_leaf': 1, 'max_depth': 143}",-0.14372797895225556,-0.13443050484694571,-0.14349940101382183,-0.17504186890284906,-0.17448905724482752,-0.1166275070481529,-0.14531434863779658,-0.1284163713646519,-0.1493174746659806,-0.1418200914602639,-0.14526846041375455,0.01730851828718195,32
37,3.3722501754760743,0.31558992175890227,0.21402335166931152,0.12636904170295948,42,101,13,1,87,"{'random_state': 42, 'n_estimators': 101, 'min_samples_split': 13, 'min_samples_leaf': 1, 'max_depth': 87}",-0.1435237694604768,-0.13310010041593148,-0.1428112637733945,-0.1755191014241683,-0.17481729789079004,-0.11595408202296495,-0.14697318474298351,-0.12867339691909688,-0.14986817970924315,-0.14236448363133689,-0.14536048599903867,0.01764235424825459,33
19,2.8814133644104003,0.24755796413838196,0.19014837741851806,0.0756957636367932,42,96,14,1,102,"{'random_state': 42, 'n_estimators': 96, 'min_samples_split': 14, 'min_samples_leaf': 1, 'max_depth': 102}",-0.1429013641100452,-0.13323072174739892,-0.14384193612599347,-0.17578989205512174,-0.17606837876177728,-0.11645516953270363,-0.14757957291905427,-0.12886525685275244,-0.1513535291756932,-0.14243874718444086,-0.14585245684649809,0.017829680053979034,34
6,2.6747912883758547,0.3346413652024479,0.23755254745483398,0.05113240225085262,42,88,14,1,44,"{'random_state': 42, 'n_estimators': 88, 'min_samples_split': 14, 'min_samples_leaf': 1, 'max_depth': 44}",-0.143101453681371,-0.1338869148185836,-0.14417755814956446,-0.17539915131300113,-0.17590010206450063,-0.11679716456645267,-0.1468062701136586,-0.12875438398496833,-0.15188908432240422,-0.1421077238897815,-0.14588198069042863,0.01765597542351367,35
75,2.048440194129944,0.14716431906854055,0.15381031036376952,0.08321548126063329,42,72,13,2,100,"{'random_state': 42, 'n_estimators': 72, 'min_samples_split': 13, 'min_samples_leaf': 2, 'max_depth': 100}",-0.1424907231387259,-0.1329183585233145,-0.14475118729808817,-0.17556234548371172,-0.17558692666293074,-0.1199660878399415,-0.14511726119933047,-0.130143129665819,-0.1514549262175893,-0.14290679911831455,-0.1460897745147766,0.01703980652729276,36
95,3.052739715576172,0.2711217178763167,0.19580411911010742,0.08344666618876107,42,105,14,2,66,"{'random_state': 42, 'n_estimators': 105, 'min_samples_split': 14, 'min_samples_leaf': 2, 'max_depth': 66}",-0.14328281760515477,-0.13294878186243944,-0.14542882623848347,-0.17535868128820556,-0.17557347206531046,-0.11765235787709569,-0.14747421920260356,-0.12978907159566022,-0.1510141878044014,-0.14308722730760545,-0.146160964284696,0.017368044209090227,37
