,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_random_state,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_depth,param_learning_rate,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
42,49.55310378074646,1.7186847192443877,0.030391597747802736,0.010312797847778873,0.48079229614807406,42,625,2,3,45,0.3022208604302151,"{'subsample': 0.48079229614807406, 'random_state': 42, 'n_estimators': 625, 'min_samples_split': 2, 'min_samples_leaf': 3, 'max_depth': 45, 'learning_rate': 0.3022208604302151}",-0.15258688510140267,-0.1380509734470038,-0.1613728885835063,-0.15793425005228076,-0.1699916838051451,-0.12342008563506109,-0.15664293979399055,-0.13298493781805587,-0.14445263081407658,-0.1573508609354534,-0.1494788135985976,0.013651587807352913,24
82,27.828531503677368,1.2737797885395616,0.025455474853515625,0.0025625510865488906,0.33323326663331665,42,625,5,3,49,0.23869544772386192,"{'subsample': 0.33323326663331665, 'random_state': 42, 'n_estimators': 625, 'min_samples_split': 5, 'min_samples_leaf': 3, 'max_depth': 49, 'learning_rate': 0.23869544772386192}",-0.14284468958851093,-0.13423365069941956,-0.15147554447677083,-0.16863789093885553,-0.17937027007011885,-0.14019116930809303,-0.1418735439176298,-0.15316635095789252,-0.14126721204005774,-0.1551077641977222,-0.1508168086195071,0.01334126873775342,25
88,74.61897795200348,2.9696863254909256,0.03647403717041016,0.009642042775916716,0.9449779889944973,42,625,5,1,61,0.31422566283141573,"{'subsample': 0.9449779889944973, 'random_state': 42, 'n_estimators': 625, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_depth': 61, 'learning_rate': 0.31422566283141573}",-0.15721274342148914,-0.13929758483712776,-0.15620584172419158,-0.14987451882225034,-0.17262008623357372,-0.12673438593134423,-0.1605757931382947,-0.13829111309115713,-0.15846474400897592,-0.1514417484447654,-0.151071855965317,0.01252692254697872,26
69,55.983519434928894,1.7242557268929621,0.044754433631896975,0.017532547273000926,0.6258503251625813,42,750,2,1,50,0.3117246623311656,"{'subsample': 0.6258503251625813, 'random_state': 42, 'n_estimators': 750, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 50, 'learning_rate': 0.3117246623311656}",-0.14682601505899678,-0.15761650306412756,-0.15480942129971517,-0.1667684231704895,-0.17268047164843425,-0.13464756320805493,-0.1380922665261659,-0.1442695715184715,-0.1407704529680635,-0.15457686107489907,-0.15110575495374182,0.011794211039499977,27
87,101.48684093952178,4.96176643351295,0.03602092266082764,0.0058120635822421236,0.7363945472736368,42,750,5,3,47,0.440276088044022,"{'subsample': 0.7363945472736368, 'random_state': 42, 'n_estimators': 750, 'min_samples_split': 5, 'min_samples_leaf': 3, 'max_depth': 47, 'learning_rate': 0.440276088044022}",-0.15266977051490066,-0.1418954621900596,-0.1434378410299883,-0.16593585942262473,-0.18208696472518773,-0.1420691751214367,-0.14115701770147926,-0.149198025110623,-0.1493660174751593,-0.1599477857532784,-0.15277639190447373,0.012503657052830698,28
32,112.22388248443603,8.538275318375282,0.03332223892211914,0.010979653517978074,0.858943571785893,42,750,4,3,58,0.5123049024512256,"{'subsample': 0.858943571785893, 'random_state': 42, 'n_estimators': 750, 'min_samples_split': 4, 'min_samples_leaf': 3, 'max_depth': 58, 'learning_rate': 0.5123049024512256}",-0.1559904586313797,-0.14152882223513585,-0.16331064164687042,-0.16464950359044597,-0.1772565378912946,-0.14273756782127783,-0.1520070761290027,-0.14899402923280436,-0.1549410692136063,-0.16623802089401027,-0.15676537272858282,0.010632565544306402,29
4,150.2051654577255,11.906577411527511,0.048507857322692874,0.013311783520022153,0.9769907953976988,42,1000,2,3,62,0.3982592796398199,"{'subsample': 0.9769907953976988, 'random_state': 42, 'n_estimators': 1000, 'min_samples_split': 2, 'min_samples_leaf': 3, 'max_depth': 62, 'learning_rate': 0.3982592796398199}",-0.1644389078571135,-0.14939816034005254,-0.16284524361257632,-0.1573238592407512,-0.18430543796608997,-0.13717270416335406,-0.16223171366898465,-0.153152367654805,-0.15226594963137008,-0.1483695688954699,-0.15715039130305672,0.011937127702318806,30
86,70.25677194595337,4.116931885254191,0.03384249210357666,0.0017525776146033408,0.8944577788894448,42,750,2,1,46,0.39675867933966985,"{'subsample': 0.8944577788894448, 'random_state': 42, 'n_estimators': 750, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 46, 'learning_rate': 0.39675867933966985}",-0.15558362773881565,-0.1522563870361016,-0.1683683518980599,-0.15623586510102752,-0.18850366349204759,-0.12710390347874811,-0.15283109498972153,-0.14649123269680034,-0.16636383020311504,-0.15908752334410273,-0.157282547997854,0.015032110288562953,31
19,74.71612858772278,5.411655443217568,0.03640186786651611,0.004630652072307801,0.9649859929964982,42,750,4,1,57,0.40026008004002,"{'subsample': 0.9649859929964982, 'random_state': 42, 'n_estimators': 750, 'min_samples_split': 4, 'min_samples_leaf': 1, 'max_depth': 57, 'learning_rate': 0.40026008004002}",-0.16581660607507306,-0.13962319564873468,-0.15431838954233107,-0.15830659236744538,-0.19083383416803518,-0.13508708175951706,-0.16387193359510435,-0.15092642610552115,-0.18464611526558436,-0.1457267434574278,-0.15891569179847742,0.017182245003500022,32
54,90.53113200664521,2.4826847899466924,0.04903831481933594,0.01008992579177472,0.4522808904452226,42,1000,5,2,53,0.3777510755377689,"{'subsample': 0.4522808904452226, 'random_state': 42, 'n_estimators': 1000, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_depth': 53, 'learning_rate': 0.3777510755377689}",-0.14892634037739166,-0.16036041833059111,-0.17376152777067394,-0.16431010680300445,-0.16577327397360173,-0.14227721512892944,-0.16177910455152714,-0.1543652158044963,-0.16096084717652714,-0.16223189663800042,-0.1594745946554743,0.008462862341319405,33
75,107.93082931041718,6.757785679297836,0.03387129306793213,0.012107222551545649,0.9539815907953977,42,625,2,3,61,0.5218087043521761,"{'subsample': 0.9539815907953977, 'random_state': 42, 'n_estimators': 625, 'min_samples_split': 2, 'min_samples_leaf': 3, 'max_depth': 61, 'learning_rate': 0.5218087043521761}",-0.17292778624168612,-0.15892063413395482,-0.1699230806935041,-0.1632259924796126,-0.173749731191822,-0.14269797442270402,-0.17454189287392707,-0.1437332006148923,-0.1520350197453316,-0.15784110649717736,-0.1609596418894612,0.011404167919153075,34
27,132.02816586494447,9.681859112737037,0.03583533763885498,0.0035513716676128745,0.8244297648824412,42,1000,7,3,57,0.5508203101550776,"{'subsample': 0.8244297648824412, 'random_state': 42, 'n_estimators': 1000, 'min_samples_split': 7, 'min_samples_leaf': 3, 'max_depth': 57, 'learning_rate': 0.5508203101550776}",-0.16425193722697332,-0.1515424781001281,-0.17484660390209877,-0.16988580322283645,-0.18519897411269914,-0.13137063363335302,-0.15226588555375173,-0.16798977374138882,-0.16637351855201318,-0.15713014478666817,-0.16208557528319106,0.01411170751648996,35
5,80.92941255569458,5.25900930937387,0.04213805198669433,0.012189373237129925,0.6893757378689345,42,750,4,2,62,0.49479789894947473,"{'subsample': 0.6893757378689345, 'random_state': 42, 'n_estimators': 750, 'min_samples_split': 4, 'min_samples_leaf': 2, 'max_depth': 62, 'learning_rate': 0.49479789894947473}",-0.17405703079832816,-0.16301478000969435,-0.1515661419729349,-0.16484507480822339,-0.19237026180837613,-0.14727087914296216,-0.15526714236203606,-0.16065532379368588,-0.16386768809998864,-0.15574906478027842,-0.1628663387576508,0.012185474817448092,36
59,49.570901083946225,1.8112055922804187,0.03484301567077637,0.003554617228317854,0.37124847423711854,42,875,2,3,47,0.3302320660330165,"{'subsample': 0.37124847423711854, 'random_state': 42, 'n_estimators': 875, 'min_samples_split': 2, 'min_samples_leaf': 3, 'max_depth': 47, 'learning_rate': 0.3302320660330165}",-0.1787647716420627,-0.14892427103854622,-0.16564121071735724,-0.165225500673752,-0.18279446455632656,-0.15718824144737614,-0.17697453793246326,-0.1493932903857501,-0.15538135924954574,-0.15936128981540046,-0.16396489374585804,0.011517744305232327,37
63,33.30327205657959,3.30989318881114,0.01503145694732666,0.0011624974494614424,0.7228891445722861,42,625,4,1,60,0.538815507753877,"{'subsample': 0.7228891445722861, 'random_state': 42, 'n_estimators': 625, 'min_samples_split': 4, 'min_samples_leaf': 1, 'max_depth': 60, 'learning_rate': 0.538815507753877}",-0.15592295082801558,-0.1590333401935129,-0.1535403215329672,-0.18165761655826876,-0.1958106722277465,-0.13065782543363863,-0.1683558520736602,-0.15607885506131505,-0.17236433897283088,-0.17732020238386856,-0.16507419752658242,0.017182232511152803,38
84,50.91061692237854,4.831402352595389,0.021674156188964844,0.0036236599353626875,0.6473589294647324,42,875,5,1,48,0.5293117058529264,"{'subsample': 0.6473589294647324, 'random_state': 42, 'n_estimators': 875, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_depth': 48, 'learning_rate': 0.5293117058529264}",-0.17089611977749805,-0.1562537631583751,-0.16037065204973783,-0.19616449514798545,-0.1809702720975902,-0.15437274423205286,-0.14136934146747288,-0.16345506766947068,-0.17302959440033888,-0.18401752084160772,-0.16808995708421295,0.015373232059593747,39
90,86.45049612522125,6.782448458563401,0.022838664054870606,0.0028932361284251845,0.9299719859929965,42,750,4,2,65,0.638355327663832,"{'subsample': 0.9299719859929965, 'random_state': 42, 'n_estimators': 750, 'min_samples_split': 4, 'min_samples_leaf': 2, 'max_depth': 65, 'learning_rate': 0.638355327663832}",-0.16716497007250292,-0.18151304721400252,-0.17972023713708185,-0.16545161191866506,-0.1860779439130367,-0.14712448362937763,-0.16566126953822105,-0.15878016359778574,-0.16211318633202612,-0.17266509467825092,-0.16862720080309507,0.011102774962657437,40
