,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_random_state,param_l1_ratio,param_alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
89,0.25739963054656984,0.049361351590978285,0.016727542877197264,0.005202949489983802,42,0.9385307653826912,0.0005795347673836919,"{'random_state': 42, 'l1_ratio': 0.9385307653826912, 'alpha': 0.0005795347673836919}",-0.11091811679704787,-0.09258619737503467,-0.1061273760547548,-0.11750264643398871,-0.13895532498391855,-0.09377256865553552,-0.11458892912901653,-0.09354624568300597,-0.09471136390308178,-0.12237111893207482,-0.10850798879474591,0.014606235167411472,48
59,0.46059017181396483,0.08925098591615212,0.01681053638458252,0.008881495130116634,42,0.5102451225612806,0.00030417708854427216,"{'random_state': 42, 'l1_ratio': 0.5102451225612806, 'alpha': 0.00030417708854427216}",-0.11427191937947839,-0.09276639257406222,-0.10379835297907358,-0.11868124266958753,-0.140706135908203,-0.09342780372499943,-0.1166040640914154,-0.09309019714761467,-0.08991853696865851,-0.12246401184803067,-0.10857286572911233,0.015856797008009956,49
77,0.40465219020843507,0.08113143869766318,0.017186522483825684,0.005173103842019847,42,0.6941530765382691,0.0007672336168084042,"{'random_state': 42, 'l1_ratio': 0.6941530765382691, 'alpha': 0.0007672336168084042}",-0.11111479038064105,-0.09261793350387554,-0.10617102582314707,-0.11776641371260246,-0.13891589547307687,-0.09389560008891493,-0.11468630885166553,-0.09353770153454563,-0.0947843466203653,-0.12230018273635046,-0.10857901987251847,0.014592550994550476,50
28,0.3685366153717041,0.05560876633666416,0.016918444633483888,0.0049088738751618425,42,0.11994047023511754,0.0009673136568284143,"{'random_state': 42, 'l1_ratio': 0.11994047023511754, 'alpha': 0.0009673136568284143}",-0.11460830567457068,-0.09291901937993333,-0.10335466375191879,-0.11945201650400121,-0.14017099949745318,-0.09425124603928708,-0.11599803194768116,-0.09323828854412144,-0.08999803484544477,-0.12193727945024341,-0.1085927885634655,0.015634948418806447,51
95,0.3758274555206299,0.07380089347951024,0.014331912994384766,0.0035165674487624447,42,0.22138969484742368,0.0005973636818409205,"{'random_state': 42, 'l1_ratio': 0.22138969484742368, 'alpha': 0.0005973636818409205}",-0.11447794581933983,-0.09286779823341135,-0.10351966489555357,-0.11913267314679424,-0.14056751478754972,-0.09395866555254712,-0.11652648750625953,-0.09327209753235277,-0.08986195116283886,-0.1221857012836965,-0.10863704999203434,0.015775094068765382,52
26,0.4503158092498779,0.12349687035425623,0.016624641418457032,0.007517303798676079,42,0.9635182591295647,0.0001664982491245623,"{'random_state': 42, 'l1_ratio': 0.9635182591295647, 'alpha': 0.0001664982491245623}",-0.11432906731530613,-0.09287078972473035,-0.10381393018030399,-0.11858657401304526,-0.14076024096205186,-0.0932388899944175,-0.11693768149199046,-0.09320824151795608,-0.08989777854112724,-0.12275041995578335,-0.10863936136967123,0.01590449098036092,53
69,0.39162096977233884,0.0625881918901398,0.013647818565368652,0.0030334681767429463,42,0.4102951475737869,0.00034775887943971987,"{'random_state': 42, 'l1_ratio': 0.4102951475737869, 'alpha': 0.00034775887943971987}",-0.11452418644539841,-0.09282657906365255,-0.10366309572357463,-0.11896099327623123,-0.14073003564468825,-0.09366347596906693,-0.11683997416364318,-0.09329561470484654,-0.08980433097190126,-0.12254859651794286,-0.10868568824809459,0.015877491668997722,54
37,0.4064913749694824,0.11843814364826237,0.015888571739196777,0.004988055855013777,42,0.1889059529764882,0.0006300500250125063,"{'random_state': 42, 'l1_ratio': 0.1889059529764882, 'alpha': 0.0006300500250125063}",-0.11477681216210919,-0.09305991682885432,-0.1034513444001764,-0.11940392428425255,-0.14062839117997367,-0.09424576861760661,-0.11661271737049722,-0.09355012815113442,-0.08982031112818809,-0.12235263854997702,-0.10879019526727696,0.01576989140473844,55
1,0.5012275457382203,0.07553489401630059,0.02189164161682129,0.017792964544776496,42,0.29585242621310653,0.0004245222611305653,"{'random_state': 42, 'l1_ratio': 0.29585242621310653, 'alpha': 0.0004245222611305653}",-0.11479552871972999,-0.09302361632407542,-0.10352680496920122,-0.11931529675085593,-0.140787664803514,-0.09408697301879763,-0.11703194524745601,-0.09367503711370191,-0.08977614017661648,-0.1226468530557674,-0.10886658601797161,0.01585253995630014,56
65,0.41656243801116943,0.09483805097221212,0.016118502616882323,0.009184214764175665,42,0.21539269634817407,0.0005240670335167584,"{'random_state': 42, 'l1_ratio': 0.21539269634817407, 'alpha': 0.0005240670335167584}",-0.11506410221123936,-0.0932027065346819,-0.10345009904290645,-0.11959134566266118,-0.14084265813917016,-0.09442511449519418,-0.11702726230984623,-0.0938495738701186,-0.0897808356046426,-0.12269301521362952,-0.10899267130840902,0.015832039494616125,57
84,0.453011679649353,0.10436105216351661,0.015532803535461426,0.0052459650361947495,42,0.5737133566783391,0.0002254327163581791,"{'random_state': 42, 'l1_ratio': 0.5737133566783391, 'alpha': 0.0002254327163581791}",-0.11503235381085178,-0.09303028646104174,-0.10361862648932142,-0.1193085725477282,-0.14091814768683852,-0.09387161685808834,-0.11766189466306838,-0.09392689458109117,-0.08970763120771982,-0.1231721334126549,-0.10902481577184045,0.01596730611931127,58
91,0.43354363441467286,0.042314188143672785,0.013999223709106445,0.003130156267751236,42,0.4127938969484742,0.00029476738369184596,"{'random_state': 42, 'l1_ratio': 0.4127938969484742, 'alpha': 0.00029476738369184596}",-0.1151400431919037,-0.09310356723834781,-0.10355797276714833,-0.1194600441088051,-0.14094095469063037,-0.09411376233500823,-0.1175405948399504,-0.09399927630444645,-0.08975419510598236,-0.12313644146939372,-0.10907468520516164,0.01593548625778629,59
67,0.44958784580230715,0.0827095421723944,0.017739367485046387,0.005597017691704307,42,0.6551725862931465,0.000194232116058029,"{'random_state': 42, 'l1_ratio': 0.6551725862931465, 'alpha': 0.000194232116058029}",-0.11518270089669896,-0.09308021261930381,-0.1036279180406773,-0.11937785291729383,-0.1409666965025489,-0.09390266108021171,-0.11788118032169773,-0.09405499116657895,-0.08968808656649017,-0.12332972916113662,-0.10910920292726381,0.01599507543764495,60
75,0.49010472297668456,0.12180161503995628,0.015320348739624023,0.0037584798806473895,42,0.6036983491745872,0.00020611805902951476,"{'random_state': 42, 'l1_ratio': 0.6036983491745872, 'alpha': 0.00020611805902951476}",-0.11525165479287496,-0.09310524671462586,-0.10361439991257397,-0.11944245863601384,-0.1409864393223908,-0.09398332876027665,-0.11789192605217629,-0.09410883497300428,-0.08969650308127478,-0.12336080138441796,-0.10914415936296293,0.015993347527077883,61
