,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_weights,param_n_neighbors,param_leaf_size,param_algorithm,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
39,0.10075008869171143,0.030901956653521613,0.21933064460754395,0.08753563148239922,uniform,17,20,kd_tree,"{'weights': 'uniform', 'n_neighbors': 17, 'leaf_size': 20, 'algorithm': 'kd_tree'}",-0.1644165561613145,-0.1618151001220888,-0.1674289923985321,-0.17827942327293678,-0.18890331437331817,-0.15735081971283277,-0.1899871024351879,-0.1476358555572271,-0.15422737959560948,-0.17883762417200783,-0.16888821678010554,0.013801525907385618,54
64,0.08708128929138184,0.020588707129508423,0.17369418144226073,0.051101551995612844,uniform,17,21,kd_tree,"{'weights': 'uniform', 'n_neighbors': 17, 'leaf_size': 21, 'algorithm': 'kd_tree'}",-0.1644165561613145,-0.1618151001220888,-0.1674289923985321,-0.17827942327293678,-0.18890331437331817,-0.15735081971283277,-0.1899871024351879,-0.1476358555572271,-0.15422737959560948,-0.17883762417200783,-0.16888821678010554,0.013801525907385618,54
25,0.07214553356170654,0.02092595475697641,0.1298072338104248,0.016643251110648356,uniform,17,35,ball_tree,"{'weights': 'uniform', 'n_neighbors': 17, 'leaf_size': 35, 'algorithm': 'ball_tree'}",-0.1644165561613145,-0.1618151001220888,-0.1674289923985321,-0.17827942327293678,-0.18890331437331817,-0.15735081971283277,-0.1899871024351879,-0.1476358555572271,-0.15422737959560948,-0.17883762417200783,-0.16888821678010554,0.013801525907385618,54
10,0.10973012447357178,0.0384354998637994,0.21017537117004395,0.058165534815133646,distance,30,39,kd_tree,"{'weights': 'distance', 'n_neighbors': 30, 'leaf_size': 39, 'algorithm': 'kd_tree'}",-0.15723044964474645,-0.15880709685255345,-0.16912332565925825,-0.18251607520264373,-0.1932454348455383,-0.15708733304564795,-0.1879806805967744,-0.153331004119523,-0.15394046220494428,-0.1756204485700479,-0.16888823107416778,0.014251837059884942,57
74,0.0815086841583252,0.024113573299655466,0.16132326126098634,0.07664754015521272,distance,30,31,ball_tree,"{'weights': 'distance', 'n_neighbors': 30, 'leaf_size': 31, 'algorithm': 'ball_tree'}",-0.15723044964474645,-0.15880709685255345,-0.16912332565925825,-0.18251607520264373,-0.1932454348455383,-0.15708733304564795,-0.1879806805967744,-0.153331004119523,-0.15394046220494428,-0.1756204485700479,-0.16888823107416778,0.014251837059884942,57
49,0.10633020401000977,0.021648722364527247,0.23138086795806884,0.06136114234548472,distance,28,35,kd_tree,"{'weights': 'distance', 'n_neighbors': 28, 'leaf_size': 35, 'algorithm': 'kd_tree'}",-0.15671602019637249,-0.15883051933117687,-0.16923415249815515,-0.18261622276122438,-0.19277718705143732,-0.15792811033763143,-0.18858333245188286,-0.15265391012750035,-0.15497099972146336,-0.1746629354167465,-0.1688973389893591,0.01416753354998337,59
51,0.09313483238220215,0.021538284423734736,0.2589184522628784,0.08880813428476218,uniform,18,33,kd_tree,"{'weights': 'uniform', 'n_neighbors': 18, 'leaf_size': 33, 'algorithm': 'kd_tree'}",-0.1643398603907144,-0.16027543846663228,-0.16825308115913049,-0.18095040708683272,-0.19020394756674863,-0.15815592738900958,-0.18948595616674474,-0.14816507752187777,-0.15419513851520816,-0.1782121755178935,-0.16922370097807923,0.014020422142164052,60
88,0.08800280094146729,0.016704554312469734,0.16647725105285643,0.049977886419945695,uniform,18,25,kd_tree,"{'weights': 'uniform', 'n_neighbors': 18, 'leaf_size': 25, 'algorithm': 'kd_tree'}",-0.1643398603907144,-0.16027543846663228,-0.16825308115913049,-0.18095040708683272,-0.19020394756674863,-0.15815592738900958,-0.18948595616674474,-0.14816507752187777,-0.15419513851520816,-0.1782121755178935,-0.16922370097807923,0.014020422142164052,60
31,0.08693373203277588,0.019848594447829413,0.1698826313018799,0.03684185567983852,distance,31,32,kd_tree,"{'weights': 'distance', 'n_neighbors': 31, 'leaf_size': 32, 'algorithm': 'kd_tree'}",-0.1579512204342101,-0.15970125079490297,-0.16944187018780732,-0.18390847847219666,-0.19367759066470225,-0.15717158587930258,-0.18770345355539766,-0.15397346351083177,-0.1536985886981154,-0.17565458422002128,-0.16928820864174882,0.01425867146137774,62
80,0.07828352451324463,0.024913013070089272,0.13993070125579835,0.045709235023273675,distance,31,24,ball_tree,"{'weights': 'distance', 'n_neighbors': 31, 'leaf_size': 24, 'algorithm': 'ball_tree'}",-0.1579512204342101,-0.15970125079490297,-0.16944187018780732,-0.18390847847219666,-0.19367759066470225,-0.15717158587930258,-0.18770345355539766,-0.15397346351083177,-0.1536985886981154,-0.17565458422002128,-0.16928820864174882,0.01425867146137774,62
17,0.12237346172332764,0.04567821548208576,0.16316444873809816,0.038004707416405326,distance,31,35,kd_tree,"{'weights': 'distance', 'n_neighbors': 31, 'leaf_size': 35, 'algorithm': 'kd_tree'}",-0.1579512204342101,-0.15970125079490297,-0.16944187018780732,-0.18390847847219666,-0.19367759066470225,-0.15717158587930258,-0.18770345355539766,-0.15397346351083177,-0.1536985886981154,-0.17565458422002128,-0.16928820864174882,0.01425867146137774,62
16,0.11250159740447999,0.029059957931371748,0.1754286289215088,0.05414467924517274,uniform,19,30,kd_tree,"{'weights': 'uniform', 'n_neighbors': 19, 'leaf_size': 30, 'algorithm': 'kd_tree'}",-0.16178698994058172,-0.1609966890290196,-0.16982881034752928,-0.18085254666212963,-0.19050010067666304,-0.15849764679170342,-0.19024528298616666,-0.14652341211212896,-0.15349138628924794,-0.18025724414393374,-0.16929801089791038,0.01467214242651801,65
47,0.11415903568267823,0.039286191369477357,0.18069045543670653,0.03394379776167527,uniform,19,35,kd_tree,"{'weights': 'uniform', 'n_neighbors': 19, 'leaf_size': 35, 'algorithm': 'kd_tree'}",-0.16178698994058172,-0.1609966890290196,-0.16982881034752928,-0.18085254666212963,-0.19050010067666304,-0.15849764679170342,-0.19024528298616666,-0.14652341211212896,-0.15349138628924794,-0.18025724414393374,-0.16929801089791038,0.01467214242651801,65
8,0.05560283660888672,0.008364757724037773,0.17832882404327394,0.04420189845456928,uniform,21,34,ball_tree,"{'weights': 'uniform', 'n_neighbors': 21, 'leaf_size': 34, 'algorithm': 'ball_tree'}",-0.16145965284110722,-0.1602274627634014,-0.16829997980541325,-0.1798969212653307,-0.1915629365910664,-0.15941895146432178,-0.19027009009471388,-0.1501377479840937,-0.1536531284513254,-0.17905600152509993,-0.16939828727858736,0.014132212686007712,67
56,0.0748981237411499,0.02022151552690724,0.14556636810302734,0.04296267531718078,uniform,20,31,ball_tree,"{'weights': 'uniform', 'n_neighbors': 20, 'leaf_size': 31, 'algorithm': 'ball_tree'}",-0.16094337958191973,-0.1610346674387281,-0.17010550753761108,-0.1811531899355217,-0.1908809142507319,-0.158676065494283,-0.19105319141975244,-0.14880234412812388,-0.15216919908055687,-0.17984615669508114,-0.16946646155623096,0.014682178058272639,68
18,0.09957380294799804,0.016556872453900348,0.1914107084274292,0.05882015785196843,uniform,20,28,kd_tree,"{'weights': 'uniform', 'n_neighbors': 20, 'leaf_size': 28, 'algorithm': 'kd_tree'}",-0.16094337958191973,-0.1610346674387281,-0.17010550753761108,-0.1811531899355217,-0.1908809142507319,-0.158676065494283,-0.19105319141975244,-0.14880234412812388,-0.15216919908055687,-0.17984615669508114,-0.16946646155623096,0.014682178058272639,68
45,0.09574100971221924,0.02784085482008003,0.17625916004180908,0.03225344524067801,uniform,22,33,kd_tree,"{'weights': 'uniform', 'n_neighbors': 22, 'leaf_size': 33, 'algorithm': 'kd_tree'}",-0.16005844199411765,-0.16104088041087217,-0.16837117660117967,-0.18140070282033766,-0.19129718009365326,-0.1595988283683107,-0.18997818260976024,-0.15178166290807987,-0.15377466743488616,-0.1782336233166825,-0.16955353465578799,0.013905322666625442,70
2,0.16759731769561767,0.10645799043728686,0.22267599105834962,0.05112250549674479,distance,32,15,kd_tree,"{'weights': 'distance', 'n_neighbors': 32, 'leaf_size': 15, 'algorithm': 'kd_tree'}",-0.1584917228268761,-0.1603578232540253,-0.17039163116382094,-0.1842587293482115,-0.1940409553607956,-0.15713666501844425,-0.18849702562424542,-0.15410373826956955,-0.15331218258646417,-0.1756095747607782,-0.16962000482132314,0.014407107220424223,71
69,0.09291222095489501,0.040989997427807144,0.16951251029968262,0.04294532223069253,distance,32,22,kd_tree,"{'weights': 'distance', 'n_neighbors': 32, 'leaf_size': 22, 'algorithm': 'kd_tree'}",-0.1584917228268761,-0.1603578232540253,-0.17039163116382094,-0.1842587293482115,-0.1940409553607956,-0.15713666501844425,-0.18849702562424542,-0.15410373826956955,-0.15331218258646417,-0.1756095747607782,-0.16962000482132314,0.014407107220424223,71
