,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_random_state,param_alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
64,0.04277849197387695,0.0036061461040832205,0.00880117416381836,0.0019845239831431825,42,9.72536268134067,"{'random_state': 42, 'alpha': 9.72536268134067}",-0.11730100440505377,-0.10472288644229691,-0.1134250998564345,-0.1551422055552277,-0.14013599040667873,-0.1073922310273022,-0.123728343991673,-0.10265401080781486,-0.18153192341874624,-0.12702289117756616,-0.1273056587088794,0.023874355793526217,49
37,0.04257137775421142,0.003083193930725287,0.008159756660461426,0.0005112551442257007,42,10.66183091545773,"{'random_state': 42, 'alpha': 10.66183091545773}",-0.11728490392207966,-0.10502300440213108,-0.11327691406654411,-0.15540956890470708,-0.14003225083183016,-0.10713391048095071,-0.12360092865940492,-0.10279508894759899,-0.18156558469598313,-0.12693498768842768,-0.12730571425996576,0.02389812387507376,50
1,0.042080354690551755,0.008575240565921677,0.008157491683959961,0.0014542527437601037,42,9.718359179589795,"{'random_state': 42, 'alpha': 9.718359179589795}",-0.11730115684558702,-0.10472057227491302,-0.11342630943249397,-0.15514021159388927,-0.14013687496284222,-0.10739434678349764,-0.12372942210374564,-0.10265302558890288,-0.18153183010036167,-0.12702369548592993,-0.12730574451721632,0.02387420001910098,51
43,0.051866698265075686,0.014650317124434546,0.009021639823913574,0.0035304061846065157,42,9.706353176588294,"{'random_state': 42, 'alpha': 9.706353176588294}",-0.11730141934096154,-0.10471660259890629,-0.11342838666847758,-0.15513679368564484,-0.14013839537182413,-0.10739798061223085,-0.12373127491763912,-0.10265133925018086,-0.18153167615652932,-0.12702507977683028,-0.12730589483792248,0.023873933843796352,52
54,0.04440550804138184,0.004015575871601996,0.007963728904724122,0.0009491050097474258,42,9.698349174587294,"{'random_state': 42, 'alpha': 9.698349174587294}",-0.11730159515939567,-0.10471395436885546,-0.11342977407653113,-0.15513451530113928,-0.14013941180957168,-0.10740040795938265,-0.12373251337655627,-0.10265021685864376,-0.18153157777134377,-0.1270260064892063,-0.1273059973170626,0.023873757004050377,53
63,0.04057357311248779,0.00295298467953095,0.007861804962158204,0.0008479301764718634,42,9.697348674337169,"{'random_state': 42, 'alpha': 9.697348674337169}",-0.11730161718296922,-0.10471362323989526,-0.11342994764805349,-0.1551342305156211,-0.14013953902383106,-0.10740071164791562,-0.12373266836699094,-0.10265007666306013,-0.18153156571245227,-0.12702612254529153,-0.12730601025460805,0.023873734933522968,54
57,0.043109583854675296,0.0035340010529080917,0.008341121673583984,0.0019543103850527513,42,9.677338669334667,"{'random_state': 42, 'alpha': 9.677338669334667}",-0.11730205981749633,-0.10470699597718053,-0.11343342587969424,-0.15512853539811677,-0.14014209077071751,-0.10740679805350134,-0.12373577673680432,-0.10264727758642578,-0.18153133573421115,-0.12702845381974912,-0.1273062749773897,0.023873295136858947,55
98,0.03580241203308106,0.0050335135216457135,0.0075473785400390625,0.0012713086295432201,42,9.675337668834418,"{'random_state': 42, 'alpha': 9.675337668834418}",-0.11730210430787316,-0.1047063327596448,-0.11343377441623573,-0.15512796594909278,-0.14014234672847828,-0.10740740802008608,-0.12373608847215417,-0.10264699818626014,-0.18153131391253255,-0.12702868801284062,-0.12730630207651983,0.023873251326819642,56
85,0.04071722030639648,0.0029226224668812448,0.00820627212524414,0.0007821241320085964,42,10.720860430215108,"{'random_state': 42, 'alpha': 10.720860430215108}",-0.1172841584282298,-0.10504133425885694,-0.11326842960772229,-0.15542644216882465,-0.14002661075566228,-0.10711914638192549,-0.12359393622218436,-0.10280455340442267,-0.18156897752552514,-0.12693065250470617,-0.127306424125806,0.02389979123963855,57
62,0.043776440620422366,0.014061922332175496,0.007934093475341797,0.0009193705939176187,42,10.74687343671836,"{'random_state': 42, 'alpha': 10.74687343671836}",-0.11728383950118357,-0.10504939085766545,-0.11326472129912539,-0.15543387760012825,-0.14002415673720026,-0.10711269324009386,-0.12359089126868966,-0.1028087439238013,-0.18157051569239027,-0.126928783893709,-0.12730676140139868,0.023900531466445028,58
