,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_lambda_2,param_lambda_1,param_alpha_2,param_alpha_1,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
8,0.5216384887695312,0.08480392069591157,0.010421109199523926,0.004564290216374406,5.592296148074036e-06,1.5708854427213608e-06,7.087943971985992e-06,2.634317158579289e-07,"{'lambda_2': 5.592296148074036e-06, 'lambda_1': 1.5708854427213608e-06, 'alpha_2': 7.087943971985992e-06, 'alpha_1': 2.634317158579289e-07}",-0.11746778364424024,-0.10358075447202886,-0.11437881859998542,-0.15412316399181325,-0.141257740151614,-0.10944287763964605,-0.12473159309248318,-0.10235214883260099,-0.18179768234624255,-0.12828659556339495,-0.12774191583340494,0.02378533018293391,55
16,0.5297943115234375,0.05653476187515222,0.011056661605834961,0.002179033320338486,5.671535767883941e-06,2.373186593296648e-06,6.543171585792896e-06,4.765232616308153e-06,"{'lambda_2': 5.671535767883941e-06, 'lambda_1': 2.373186593296648e-06, 'alpha_2': 6.543171585792896e-06, 'alpha_1': 4.765232616308153e-06}",-0.11746778417570596,-0.10358075134991677,-0.11437882074482238,-0.15412316249275027,-0.14125774256976095,-0.10944288230041377,-0.12473159571580777,-0.10235214878471531,-0.18179768426172635,-0.12828659854309235,-0.1277419170938712,0.02378533038324676,56
12,0.5466270446777344,0.13327442009872928,0.012357354164123535,0.003839721616388357,5.8597298649324654e-06,6.127163581790895e-06,9.489894947473737e-06,6.335167583791895e-06,"{'lambda_2': 5.8597298649324654e-06, 'lambda_1': 6.127163581790895e-06, 'alpha_2': 9.489894947473737e-06, 'alpha_1': 6.335167583791895e-06}",-0.11746778475609176,-0.10358074762282209,-0.11437882300138077,-0.15412316092331632,-0.1412577446982419,-0.10944288674983031,-0.12473159845019655,-0.10235214873257484,-0.18179768664637738,-0.1282866011775777,-0.12774191827584094,0.02378533073350247,57
67,0.5352686643600464,0.040275692535686525,0.011157727241516114,0.0018772426918313998,5.750775387693846e-06,3.5320660330165078e-06,5.215907953976988e-06,8.1032016008004e-06,"{'lambda_2': 5.750775387693846e-06, 'lambda_1': 3.5320660330165078e-06, 'alpha_2': 5.215907953976988e-06, 'alpha_1': 8.1032016008004e-06}",-0.11746778481996803,-0.10358074762065399,-0.1143788233589351,-0.15412316066132115,-0.14125774559147355,-0.1094428880581045,-0.12473159891865238,-0.1023521487266601,-0.18179768653742864,-0.12828660226262487,-0.1277419186555822,0.023785330604349782,58
89,0.4977236032485962,0.05407310448067389,0.009562468528747559,0.0007187396827629406,5.810205102551275e-06,4.070535267633817e-07,4.8395197598799395e-06,7.147373686843421e-06,"{'lambda_2': 5.810205102551275e-06, 'lambda_1': 4.070535267633817e-07, 'alpha_2': 4.8395197598799395e-06, 'alpha_1': 7.147373686843421e-06}",-0.11746778524739447,-0.10358074511325781,-0.11437882508775056,-0.15412315946112595,-0.14125774754030437,-0.10944289182426899,-0.1247316010301685,-0.1023521486881026,-0.18179768806204794,-0.1282866046683194,-0.12774191967227405,0.02378533076073011,59
71,0.5157350301742554,0.07378831927583399,0.01129319667816162,0.002984272658326486,5.879539769884942e-06,4.3676838419209604e-07,2.194897448724362e-06,8.851025512756379e-06,"{'lambda_2': 5.879539769884942e-06, 'lambda_1': 4.3676838419209604e-07, 'alpha_2': 2.194897448724362e-06, 'alpha_1': 8.851025512756379e-06}",-0.11746778604531892,-0.10358074058379708,-0.11437882834958867,-0.15412315717396596,-0.14125775142676822,-0.10944289913519496,-0.12473160503359093,-0.10235214861616597,-0.18179769079807728,-0.12828660944915443,-0.12774192166116224,0.023785330997581264,60
81,0.5202794313430786,0.10982103195718945,0.011217713356018066,0.004101370544728455,6.1766883441720855e-06,2.8238619309654824e-06,7.692146073036518e-06,1.9027013506753377e-06,"{'lambda_2': 6.1766883441720855e-06, 'lambda_1': 2.8238619309654824e-06, 'alpha_2': 7.692146073036518e-06, 'alpha_1': 1.9027013506753377e-06}",-0.11746778685565896,-0.10358073526318731,-0.11437883147138507,-0.1541231550129552,-0.141257754208897,-0.10944290512123507,-0.1247316088036975,-0.10235214854340441,-0.1817976942242186,-0.12828661290181353,-0.1277419232406453,0.02378533153213484,61
63,0.5325980663299561,0.05753703444623406,0.00986328125,0.0019553400797676346,5.9488744372186084e-06,1.0954477238619307e-06,4.1200600300150073e-07,3.279489744872436e-06,"{'lambda_2': 5.9488744372186084e-06, 'lambda_1': 1.0954477238619307e-06, 'alpha_2': 4.1200600300150073e-07, 'alpha_1': 3.279489744872436e-06}",-0.11746778669189954,-0.10358073687523238,-0.11437883098154024,-0.15412315532577267,-0.14125775451580191,-0.10944290497760373,-0.12473160826207827,-0.10235214855792145,-0.18179769305621707,-0.12828661324802504,-0.12774192324920924,0.023785331206814666,62
76,0.5242956161499024,0.05527387073576267,0.010088849067687988,0.0024086708565965653,6.473836918459229e-06,1.199449724862431e-06,9.762281140570286e-06,6.596298149074537e-07,"{'lambda_2': 6.473836918459229e-06, 'lambda_1': 1.199449724862431e-06, 'alpha_2': 9.762281140570286e-06, 'alpha_1': 6.596298149074537e-07}",-0.1174677882421466,-0.10358072681944498,-0.11437883699086819,-0.15412315117586278,-0.14125776003264423,-0.10944291669458461,-0.12473161552510505,-0.10235214841859393,-0.1817976994766003,-0.12828662009608072,-0.12774192634719314,0.023785332173239415,63
26,0.4893360614776611,0.03310893192039024,0.011088371276855469,0.004808392574490999,6.414407203601801e-06,7.141070535267634e-07,7.503951975987993e-06,9.148174087043522e-06,"{'lambda_2': 6.414407203601801e-06, 'lambda_1': 7.141070535267634e-07, 'alpha_2': 7.503951975987993e-06, 'alpha_1': 9.148174087043522e-06}",-0.11746778826930757,-0.10358072686021057,-0.11437883715400576,-0.15412315105612637,-0.14125776047912217,-0.10944291733568122,-0.12473161574127746,-0.10235214841605142,-0.18179769939094673,-0.12828662063861115,-0.12774192653413402,0.023785332100839853,64
79,0.5324461936950684,0.08277962248993496,0.013342761993408203,0.008228657665848195,6.389644822411205e-06,5.983541770885443e-06,4.210555277638819e-06,1.1152576288144071e-06,"{'lambda_2': 6.389644822411205e-06, 'lambda_1': 5.983541770885443e-06, 'alpha_2': 4.210555277638819e-06, 'alpha_1': 1.1152576288144071e-06}",-0.117467788555727,-0.10358072541351149,-0.11437883836597303,-0.1541231501787963,-0.14125776216948357,-0.10944292029050387,-0.12473161725163866,-0.10235214839029334,-0.1817977002444786,-0.12828662269837315,-0.12774192735587792,0.023785332121081446,65
77,0.5106370925903321,0.05600200839193449,0.011689400672912598,0.00413222755083576,6.429264632316158e-06,5.671535767883941e-06,3.021960980490245e-06,6.695347673836918e-07,"{'lambda_2': 6.429264632316158e-06, 'lambda_1': 5.671535767883941e-06, 'alpha_2': 3.021960980490245e-06, 'alpha_1': 6.695347673836918e-07}",-0.11746778896372674,-0.10358072308345706,-0.11437884003034093,-0.1541231490128454,-0.141257764134008,-0.10944292400142598,-0.12473161929297848,-0.10235214835352628,-0.18179770165533743,-0.12828662511582287,-0.1277419283643469,0.023785332247718546,66
5,0.549123215675354,0.06520889382576539,0.013744831085205078,0.008907146463052285,6.4441220610305145e-06,2.0017508754377185e-06,2.115657828914457e-06,4.864282141070535e-06,"{'lambda_2': 6.4441220610305145e-06, 'lambda_1': 2.0017508754377185e-06, 'alpha_2': 2.115657828914457e-06, 'alpha_1': 4.864282141070535e-06}",-0.11746778923444583,-0.10358072156200201,-0.11437884114468232,-0.15412314824226905,-0.1412577654743872,-0.10944292652741609,-0.12473162065771252,-0.1023521483290529,-0.1817977025520748,-0.1282866267705751,-0.12774192904946177,0.023785332317259367,67
1,0.4744464159011841,0.042839676636110116,0.010169720649719239,0.0012728641274137398,7.008704352176087e-06,1.3331665832916455e-06,8.534067033516758e-06,6.454027013506753e-06,"{'lambda_2': 7.008704352176087e-06, 'lambda_1': 1.3331665832916455e-06, 'alpha_2': 8.534067033516758e-06, 'alpha_1': 6.454027013506753e-06}",-0.11746779147129759,-0.10358070767004683,-0.11437884997770172,-0.15412314211264533,-0.1412577744337401,-0.10944294466091192,-0.12473163139075379,-0.10235214812785634,-0.18179771126793645,-0.12828663785226646,-0.12774193389651567,0.023785333461524928,68
31,0.5560367107391357,0.09747551970798345,0.009691143035888672,0.0018095585136690263,6.959179589794897e-06,8.643021510755378e-06,6.36488244122061e-06,6.280690345172585e-06,"{'lambda_2': 6.959179589794897e-06, 'lambda_1': 8.643021510755378e-06, 'alpha_2': 6.36488244122061e-06, 'alpha_1': 6.280690345172585e-06}",-0.11746779143803847,-0.10358070803197544,-0.11437884988030736,-0.15412314215182701,-0.1412577745571534,-0.10944294467246238,-0.12473163129449759,-0.10235214813091807,-0.18179771103330522,-0.12828663798407222,-0.12774193391745572,0.02378533339000832,69
32,0.490117621421814,0.08378059138658653,0.010784602165222168,0.0018262358005163275,6.8650825412706345e-06,5.4882941470735365e-06,1.3331665832916455e-06,2.952626313156578e-06,"{'lambda_2': 6.8650825412706345e-06, 'lambda_1': 5.4882941470735365e-06, 'alpha_2': 1.3331665832916455e-06, 'alpha_1': 2.952626313156578e-06}",-0.11746779169825027,-0.10358070692239105,-0.11437885104224943,-0.15412314132461974,-0.14125777641870893,-0.10944294779241828,-0.12473163275102127,-0.10235214810731987,-0.181797711592856,-0.12828664025922354,-0.12774193479090584,0.02378533331666429,70
56,0.5198384046554565,0.06603603832538651,0.012978816032409668,0.00600777802050766,6.894797398699349e-06,2.7990995497748873e-06,5.803901950975488e-07,5.409054527263632e-06,"{'lambda_2': 6.894797398699349e-06, 'lambda_1': 2.7990995497748873e-06, 'alpha_2': 5.803901950975488e-07, 'alpha_1': 5.409054527263632e-06}",-0.11746779201574821,-0.10358070510428628,-0.11437885233860959,-0.15412314042461342,-0.14125777793739697,-0.10944295068081043,-0.12473163433763018,-0.10235214807867234,-0.18179771268273215,-0.12828664213286234,-0.12774193557333618,0.023785333414020816,71
87,0.516928744316101,0.06001719773081904,0.01013038158416748,0.0015371381180585234,7.196898449224611e-06,9.6879939969985e-06,8.870835417708854e-06,4.314557278639319e-06,"{'lambda_2': 7.196898449224611e-06, 'lambda_1': 9.6879939969985e-06, 'alpha_2': 8.870835417708854e-06, 'alpha_1': 4.314557278639319e-06}",-0.11746779239006938,-0.10358070213271135,-0.11437885364173658,-0.1541231395361484,-0.14125777839320267,-0.10944295241026128,-0.12473163586800205,-0.10235214804532197,-0.18179771473876138,-0.12828664272521045,-0.12774193598814257,0.023785333873609538,72
43,0.5181537389755249,0.09107016306215855,0.010138964653015137,0.0025899827481344947,7.162231115557778e-06,2.9130065032516254e-06,4.715707853926963e-06,6.5332666333166575e-06,"{'lambda_2': 7.162231115557778e-06, 'lambda_1': 2.9130065032516254e-06, 'alpha_2': 4.715707853926963e-06, 'alpha_1': 6.5332666333166575e-06}",-0.11746779290475666,-0.1035806994454258,-0.11437885581299051,-0.15412313802033614,-0.14125778127517274,-0.10944295761432819,-0.12473163854682537,-0.10235214799877537,-0.18179771626870364,-0.12828664626932393,-0.12774193741566384,0.02378533392452402,73
74,0.5019846200942993,0.022861318424533858,0.010692644119262695,0.0019929020770969035,7.4494747373686835e-06,5.3496248124062025e-06,2.794147073536768e-06,6.67688844422211e-06,"{'lambda_2': 7.4494747373686835e-06, 'lambda_1': 5.3496248124062025e-06, 'alpha_2': 2.794147073536768e-06, 'alpha_1': 6.67688844422211e-06}",-0.1174677947988271,-0.10358068830716632,-0.11437886345240154,-0.15412313267621366,-0.14125778987618715,-0.10944297419310504,-0.12473164789120203,-0.10235214782833095,-0.18179772311521525,-0.12828665686444635,-0.12774194190030952,0.023785334645650184,74
25,0.539807939529419,0.07333409810439022,0.01656520366668701,0.012823158682551948,7.672336168084042e-06,4.037218609304652e-06,9.123411705852926e-06,3.383491745872936e-06,"{'lambda_2': 7.672336168084042e-06, 'lambda_1': 4.037218609304652e-06, 'alpha_2': 9.123411705852926e-06, 'alpha_1': 3.383491745872936e-06}",-0.11746779510947321,-0.10358068590971166,-0.11437886455777053,-0.15412313193661134,-0.14125779036137528,-0.10944297578762763,-0.12473164918978251,-0.10235214780053786,-0.18179772473321867,-0.12828665749421603,-0.12774194228803248,0.023785334992220117,75
99,0.42737460136413574,0.057565745054248094,0.006891322135925293,0.0018237212223827413,7.528714357178588e-06,6.211355677838919e-06,3.83911955977989e-06,4.685992996498249e-06,"{'lambda_2': 7.528714357178588e-06, 'lambda_1': 6.211355677838919e-06, 'alpha_2': 3.83911955977989e-06, 'alpha_1': 4.685992996498249e-06}",-0.11746779507611821,-0.10358068655891428,-0.1143788645394788,-0.15412313191978505,-0.1412577909453964,-0.10944297638458014,-0.12473164921094376,-0.10235214780343002,-0.1817977242241691,-0.1282866581864624,-0.12774194248492782,0.023785334799456288,76
